




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Valhalla                      2500                          0                             1                             0                             0                             0                             0                             1                             5                             6                             2                             0                             0                             0                             13                            0                             0                             0                             0                             0                             0                             0                             105                           175                           74                            0                             0                             0                             354                           0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             2                             112                           337                           134                           0                             0                             0                             583                           953                           
Valley State Park             3611                          1                             2                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             2                             54                            70                            18                            0                             0                             0                             142                           0                             0                             0                             0                             0                             0                             0                             2                             2                             1                             0                             0                             0                             5                             286                           1008                          233                           0                             0                             0                             1527                          1679                          
Walden                        1355                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             28                            22                            14                            0                             0                             0                             64                            0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             193                           198                           69                            0                             0                             0                             460                           526                           
Webber                        1193                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             91                            63                            9                             0                             0                             0                             163                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             157                           245                           71                            0                             0                             0                             473                           640                           
Westminster                   1961                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             37                            26                            12                            0                             0                             0                             75                            0                             0                             0                             0                             0                             0                             0                             4                             1                             0                             0                             0                             0                             5                             267                           300                           62                            0                             0                             0                             629                           710                           
Whitewell                     2014                          0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             32                            24                            6                             0                             0                             0                             62                            1                             0                             0                             0                             0                             0                             1                             4                             0                             2                             0                             0                             0                             6                             266                           311                           55                            0                             0                             0                             632                           703                           
Wildewood                     3244                          0                             0                             0                             0                             0                             0                             0                             3                             6                             2                             0                             0                             0                             11                            0                             1                             0                             0                             0                             0                             1                             194                           219                           98                            0                             0                             0                             511                           0                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             4                             115                           405                           139                           0                             0                             0                             659                           1186                          
Woodfield                     2820                          1                             1                             1                             0                             0                             0                             3                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             82                            109                           48                            0                             0                             0                             239                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             248                           487                           161                           0                             0                             0                             896                           1141                          
Woodlands                     2302                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             168                           212                           76                            0                             0                             0                             456                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             41                            152                           67                            0                             0                             0                             260                           719                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             6                             0                             0                             6                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             49                            0                             0                             49                            55                            
Provisional                   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             20                            0                             20                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             53                            0                             53                            74                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             12                            12                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             65                            65                            80                            
Totals:                       281077                        61                            40                            20                            0                             0                             1                             122                           73                            85                            16                            0                             0                             0                             174                           76                            46                            18                            0                             0                             1                             141                           13170                         13471                         3843                          6                             20                            12                            30522                         9                             11                            6                             0                             0                             0                             26                            204                           93                            35                            0                             1                             1                             334                           22452                         47091                         14381                         49                            53                            65                            84091                         115410                        

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              President and Vice President (Vote For 1)
                                                            GRN Howie Hawkins | Angela Walker                                                                                                                                                                                 REP Donald J Trump | Michael R Pence                                                                                                                                                                              ALN Roque Rocky De La Fuente | Darcy G Richardson                                                                                                                                                                 LIB Jo Jorgensen | Jeremy Spike Cohen                                                                                                                                                                             DEM Joseph R Biden | Kamala D Harris                                                                                                                                                                              
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Ward 1                        1499                          3                             4                             3                             0                             0                             0                             10                            77                            75                            49                            0                             0                             0                             201                           0                             0                             1                             0                             0                             0                             1                             8                             4                             2                             0                             0                             0                             14                            108                           259                           200                           0                             0                             0                             567                           793                           
Ward 2                        1221                          1                             1                             3                             0                             0                             0                             5                             39                            27                            7                             0                             0                             0                             73                            0                             1                             0                             0                             0                             0                             1                             5                             4                             4                             0                             0                             0                             13                            124                           180                           74                            0                             0                             0                             378                           470                           
Ward 3                        1710                          3                             2                             3                             0                             0                             0                             8                             143                           80                            26                            0                             0                             0                             249                           1                             0                             0                             0                             0                             0                             1                             13                            4                             3                             0                             0                             0                             20                            271                           384                           134                           0                             0                             0                             789                           1067                          
Ward 4                        1542                          2                             0                             5                             0                             0                             0                             7                             136                           61                            59                            0                             0                             0                             256                           0                             0                             1                             0                             0                             0                             1                             17                            3                             2                             0                             0                             0                             22                            268                           364                           204                           0                             0                             0                             836                           1122                          
Ward 5                        1417                          1                             1                             0                             0                             0                             0                             2                             112                           74                            28                            0                             0                             0                             214                           0                             0                             0                             0                             0                             0                             0                             13                            0                             4                             0                             0                             0                             17                            146                           150                           82                            0                             0                             0                             378                           611                           
Ward 6                        1459                          1                             1                             0                             0                             0                             0                             2                             198                           86                            83                            0                             0                             0                             367                           1                             0                             0                             0                             0                             0                             1                             14                            5                             5                             0                             0                             0                             24                            205                           259                           203                           0                             0                             0                             667                           1061                          
Ward 7                        1282                          1                             3                             0                             0                             0                             0                             4                             8                             5                             2                             0                             0                             0                             15                            0                             1                             0                             0                             0                             0                             1                             1                             1                             0                             0                             0                             0                             2                             215                           280                           130                           0                             0                             0                             625                           647                           
Ward 8                        1936                          0                             0                             0                             0                             0                             0                             0                             2                             3                             0                             0                             0                             0                             5                             0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             72                            88                            24                            0                             0                             0                             184                           192                           
Ward 9                        1200                          1                             0                             1                             0                             0                             0                             2                             10                            6                             4                             0                             0                             0                             20                            0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             129                           297                           59                            0                             0                             0                             485                           509                           
Ward 10                       1559                          4                             1                             1                             0                             0                             0                             6                             160                           120                           62                            0                             0                             0                             342                           1                             0                             0                             0                             0                             0                             1                             8                             3                             3                             0                             0                             0                             14                            198                           338                           229                           0                             0                             0                             765                           1128                          
Ward 11                       1555                          3                             1                             0                             0                             0                             0                             4                             119                           62                            27                            0                             0                             0                             208                           0                             0                             0                             0                             0                             0                             0                             7                             3                             1                             0                             0                             0                             11                            251                           332                           149                           0                             0                             0                             732                           955                           
Ward 12                       1585                          6                             2                             1                             0                             0                             0                             9                             158                           98                            69                            0                             0                             0                             325                           0                             0                             0                             0                             0                             0                             0                             6                             1                             2                             0                             0                             0                             9                             245                           291                           242                           0                             0                             0                             778                           1121                          
Ward 13                       2182                          4                             0                             1                             0                             0                             0                             5                             218                           169                           87                            0                             0                             0                             474                           0                             0                             1                             0                             0                             0                             1                             19                            5                             3                             0                             0                             0                             27                            238                           489                           353                           0                             0                             0                             1080                          1587                          
Ward 14                       1672                          4                             3                             0                             0                             0                             0                             7                             189                           160                           76                            0                             0                             0                             425                           0                             0                             0                             0                             0                             0                             0                             12                            5                             8                             0                             0                             0                             25                            229                           344                           255                           0                             0                             0                             828                           1285                          
Ward 15                       1103                          2                             0                             0                             0                             0                             0                             2                             140                           163                           69                            0                             0                             0                             372                           0                             1                             0                             0                             0                             0                             1                             4                             3                             3                             0                             0                             0                             10                            111                           228                           153                           0                             0                             0                             492                           877                           
Ward 16                       1366                          2                             0                             1                             0                             0                             0                             3                             229                           240                           119                           0                             0                             0                             588                           0                             0                             0                             0                             0                             0                             0                             9                             4                             6                             0                             0                             0                             19                            124                           224                           168                           0                             0                             0                             516                           1126                          
Ward 17                       1678                          2                             0                             3                             0                             0                             0                             5                             225                           259                           135                           0                             0                             0                             619                           1                             1                             0                             0                             0                             0                             2                             5                             4                             2                             0                             0                             0                             11                            122                           312                           264                           0                             0                             0                             698                           1335                          
Ward 18                       1307                          3                             0                             2                             0                             0                             0                             5                             44                            24                            31                            0                             0                             0                             99                            2                             2                             0                             0                             0                             0                             4                             6                             2                             0                             0                             0                             0                             8                             190                           359                           142                           0                             0                             0                             691                           807                           
Ward 19                       1465                          5                             1                             0                             0                             0                             0                             6                             14                            3                             2                             0                             0                             0                             19                            0                             0                             0                             0                             0                             0                             0                             4                             1                             2                             0                             0                             0                             7                             315                           298                           104                           0                             0                             0                             717                           749                           
Ward 20                       1921                          5                             6                             0                             0                             0                             0                             11                            111                           74                            28                            0                             0                             0                             213                           1                             0                             0                             0                             0                             0                             1                             7                             10                            5                             0                             0                             0                             22                            289                           488                           220                           0                             0                             0                             997                           1244                          
