




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
St. Andrews 31                1288                          932                           72.36%
St. Andrews 32                1208                          929                           76.90%
St. Andrews 33                801                           639                           79.78%
St. Andrews 34                2594                          1909                          73.59%
St. Andrews 35                1876                          1447                          77.13%
St. Andrews 36                1751                          1330                          75.96%
St. Andrews 37                5014                          3530                          70.40%
North Charleston 1            932                           548                           58.80%
North Charleston 2            541                           317                           58.60%
North Charleston 3            1306                          958                           73.35%
North Charleston 4            1256                          794                           63.22%
North Charleston 5            1901                          1149                          60.44%
North Charleston 6            1385                          828                           59.78%
North Charleston 7            1486                          698                           46.97%
North Charleston 8            1145                          754                           65.85%
North Charleston 9            1694                          1115                          65.82%
North Charleston 10           1403                          751                           53.53%
North Charleston 11           968                           719                           74.28%
North Charleston 12           1091                          832                           76.26%
North Charleston 13           938                           536                           57.14%
North Charleston 14           772                           530                           68.65%
North Charleston 15           1433                          809                           56.45%
North Charleston 16           1135                          713                           62.82%
North Charleston 17           878                           503                           57.29%
North Charleston 18           1887                          1124                          59.57%
North Charleston 19           1134                          761                           67.11%
North Charleston 20           791                           572                           72.31%
North Charleston 21           1409                          892                           63.31%
North Charleston 22           1497                          855                           57.11%
North Charleston 23           2285                          1485                          64.99%
North Charleston 24           2879                          1705                          59.22%
North Charleston 25           701                           424                           60.49%
North Charleston 26           414                           238                           57.49%
North Charleston 27           1099                          623                           56.69%
North Charleston 28           981                           466                           47.50%
North Charleston 29           883                           469                           53.11%
North Charleston 30           1961                          1286                          65.58%
Failsafe                      0                             127                           0.00%
Provisional                   0                             461                           0.00%
Failsafe Provisional          0                             301                           0.00%
Total:                        312487                        220794                        70.66%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provionsal                    Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provionsal                    Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provionsal                    Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provionsal                    Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provionsal                    Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provionsal                    Failsafe Provisional          Choice Total                  Total                         
Awendaw                       1497                          1                             0                             0                             0                             0                             0                             1                             0                             0                             2                             0                             0                             0                             2                             155                           139                           40                            0                             0                             0                             334                           0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             124                           94                            160                           0                             0                             0                             378                           716                           
Christ Church                 985                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             116                           101                           38                            0                             0                             0                             255                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             84                            67                            93                            0                             0                             0                             244                           500                           
Isle Of Palms 1A              1141                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             206                           78                            42                            0                             0                             0                             326                           0                             0                             0                             0                             0                             0                             0                             5                             1                             0                             0                             0                             0                             6                             54                            39                            23                            0                             0                             0                             116                           448                           
Isle of Palms 1B              1524                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             260                           93                            56                            0                             0                             0                             409                           0                             0                             0                             0                             0                             0                             0                             1                             0                             2                             0                             0                             0                             3                             61                            48                            58                            0                             0                             0                             167                           579                           
Isle of Palms 1C              1810                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             214                           202                           130                           0                             0                             0                             546                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             29                            73                            71                            0                             0                             0                             173                           721                           
Sullivans Island              1806                          0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             222                           122                           46                            0                             0                             0                             390                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             89                            75                            79                            0                             0                             0                             243                           634                           
McClellanville                1785                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             165                           82                            41                            0                             0                             0                             288                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             301                           117                           156                           0                             0                             0                             574                           864                           
Deer Park 1A                  1525                          3                             0                             0                             0                             0                             0                             3                             2                             1                             0                             0                             0                             0                             3                             71                            68                            12                            0                             0                             0                             151                           0                             0                             0                             0                             0                             0                             0                             2                             3                             0                             0                             0                             0                             5                             139                           190                           67                            0                             0                             0                             396                           558                           
Deer Park 1B                  3629                          1                             1                             0                             0                             0                             0                             2                             0                             0                             1                             0                             0                             0                             1                             188                           196                           151                           0                             0                             0                             535                           1                             0                             0                             0                             0                             0                             1                             5                             3                             1                             0                             0                             0                             9                             177                           333                           158                           0                             0                             0                             668                           1216                          
Deer Park 2A                  3137                          3                             0                             0                             0                             0                             0                             3                             0                             0                             1                             0                             0                             0                             1                             170                           198                           61                            0                             0                             0                             429                           0                             1                             0                             0                             0                             0                             1                             9                             2                             1                             0                             0                             0                             12                            165                           340                           132                           0                             0                             0                             637                           1083                          
Deer Park 2B                  2134                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             79                            112                           23                            0                             0                             0                             214                           1                             0                             1                             0                             0                             0                             2                             3                             1                             1                             0                             0                             0                             5                             136                           285                           66                            0                             0                             0                             487                           708                           
Deer Park 2C                  1136                          0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             2                             89                            89                            44                            0                             0                             0                             222                           1                             0                             0                             0                             0                             0                             1                             3                             0                             0                             0                             0                             0                             3                             68                            103                           58                            0                             0                             0                             229                           457                           
Deer Park 3                   2369                          1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             130                           116                           25                            0                             0                             0                             271                           0                             0                             0                             0                             0                             0                             0                             2                             3                             3                             0                             0                             0                             8                             190                           357                           81                            0                             0                             0                             628                           909                           
Lincolnville                  2155                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             213                           113                           66                            0                             0                             0                             392                           0                             0                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             3                             238                           179                           119                           0                             0                             0                             536                           932                           
Ladson                        3274                          1                             3                             1                             0                             0                             0                             5                             2                             0                             0                             0                             0                             0                             2                             214                           236                           78                            0                             0                             0                             528                           0                             0                             0                             0                             0                             0                             0                             3                             1                             0                             0                             0                             0                             4                             225                           391                           174                           0                             0                             0                             790                           1329                          
Edisto Island                 1666                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             296                           77                            63                            0                             0                             0                             436                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             170                           105                           143                           0                             0                             0                             418                           857                           
Wadmalaw Island 1             1196                          0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             117                           104                           34                            0                             0                             0                             255                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             93                            138                           97                            0                             0                             0                             328                           585                           
Wadmalaw Island 2             1200                          0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             110                           55                            34                            0                             0                             0                             199                           0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             144                           162                           81                            0                             0                             0                             387                           589                           
