




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
FROHAWK                       1717                          1314                          76.53%
GRANITE CREEK                 3028                          2326                          76.82%
GRAZE BRANCH                  1815                          1470                          80.99%
GREENBRIAR                    1866                          1378                          73.85%
HILLCREST                     2753                          2053                          74.57%
HOLLY TREE                    1446                          1089                          75.31%
KILGORE FARMS                 2831                          2106                          74.39%
LOCUST HILL                   1653                          1264                          76.47%
LONG CREEK                    1888                          1502                          79.56%
MOORE CREEK                   4095                          3164                          77.26%
ONEAL                         3231                          2589                          80.13%
RANCH CREEK                   2960                          2173                          73.41%
RIVERSIDE                     2690                          1900                          70.63%
SPARROWS POINT                2657                          1968                          74.07%
STANDING SPRINGS              1889                          1425                          75.44%
TRAVELERS REST 1              2640                          1921                          72.77%
TRAVELERS REST 2              1716                          1276                          74.36%
TYGER RIVER                   1577                          993                           62.97%
VERDMONT                      2440                          1850                          75.82%
WARE PLACE                    2041                          1585                          77.66%
Failsafe                      0                             357                           0.00%
Provisional                   0                             231                           0.00%
Failsafe Provisional          0                             975                           0.00%
Total:                        362653                        259823                        71.65%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                STRAIGHT PARTY 2 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Independence                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
GREENVILLE 1                  1824                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             372                           74                            75                            0                             0                             0                             521                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             109                           86                            66                            0                             0                             0                             261                           784                           
GREENVILLE 3                  2553                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             407                           105                           58                            0                             0                             0                             570                           0                             0                             0                             0                             0                             0                             0                             3                             1                             0                             0                             0                             0                             4                             210                           157                           64                            0                             0                             0                             431                           1005                          
GREENVILLE 4                  2910                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             169                           61                            41                            0                             0                             0                             271                           0                             0                             0                             0                             0                             0                             0                             4                             0                             0                             0                             0                             0                             4                             300                           226                           96                            0                             0                             0                             622                           900                           
GREENVILLE 5                  3230                          0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             261                           89                            42                            0                             0                             0                             392                           0                             0                             0                             0                             0                             0                             0                             6                             1                             0                             0                             0                             0                             7                             274                           228                           148                           0                             0                             0                             650                           1052                          
GREENVILLE 6                  669                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             34                            4                             1                             0                             0                             0                             39                            0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             149                           32                            19                            0                             0                             0                             200                           241                           
GREENVILLE 7                  2619                          0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             175                           59                            39                            0                             0                             0                             273                           0                             0                             0                             0                             0                             0                             0                             6                             2                             0                             0                             0                             0                             8                             410                           219                           117                           0                             0                             0                             746                           1029                          
GREENVILLE 8                  3505                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             271                           81                            63                            0                             0                             0                             415                           0                             0                             0                             0                             0                             0                             0                             8                             2                             1                             0                             0                             0                             11                            427                           356                           162                           0                             0                             0                             945                           1372                          
GREENVILLE 10                 3010                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             261                           104                           74                            0                             0                             0                             439                           0                             0                             0                             0                             0                             0                             0                             3                             1                             0                             0                             0                             0                             4                             200                           217                           105                           0                             0                             0                             522                           965                           
GREENVILLE 14                 1950                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             44                            19                            5                             0                             0                             0                             68                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             430                           220                           131                           0                             0                             0                             781                           851                           
GREENVILLE 16                 2179                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             342                           84                            90                            0                             0                             0                             516                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             79                            89                            74                            0                             0                             0                             242                           762                           
GREENVILLE 17                 1870                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             261                           84                            81                            0                             0                             0                             426                           0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             75                            72                            32                            0                             0                             0                             179                           607                           
GREENVILLE 18                 1544                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             364                           82                            39                            0                             0                             0                             485                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             63                            62                            42                            0                             0                             0                             167                           653                           
GREENVILLE 19                 2449                          0                             0                             0                             0                             0                             0                             0                             8                             3                             2                             0                             0                             0                             13                            1                             0                             0                             0                             0                             0                             1                             127                           29                            16                            0                             0                             0                             172                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             398                           291                           165                           0                             0                             0                             854                           1041                          
GREENVILLE 20                 1319                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             217                           66                            68                            0                             0                             0                             351                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             55                            41                            26                            0                             0                             0                             122                           473                           
GREENVILLE 21                 1652                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             221                           52                            48                            0                             0                             0                             321                           0                             0                             0                             0                             0                             0                             0                             5                             0                             0                             0                             0                             0                             5                             86                            72                            57                            0                             0                             0                             215                           543                           
GREENVILLE 22                 2477                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             569                           56                            65                            0                             0                             0                             690                           0                             0                             1                             0                             0                             0                             1                             2                             0                             1                             0                             0                             0                             3                             148                           67                            47                            0                             0                             0                             262                           958                           
GREENVILLE 23                 2142                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             462                           112                           113                           0                             0                             0                             687                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             63                            42                            44                            0                             0                             0                             149                           838                           
