




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
LAURENS 1                     719                           451                           62.73%
LAURENS 2                     570                           314                           55.09%
LAURENS 3                     1029                          569                           55.30%
LAURENS 4                     838                           549                           65.51%
LAURENS 5                     1572                          1184                          75.32%
LAURENS 6                     1275                          1014                          79.53%
BAILEY                        1043                          778                           74.59%
TRINITY RIDGE                 1437                          1109                          77.17%
WATTSVILLE                    1442                          973                           67.48%
BARKSDALE-NARINE              1015                          742                           73.10%
MADDENS                       1215                          914                           75.23%
CLINTON 1                     1495                          979                           65.48%
CLINTON 2                     1536                          998                           64.97%
JOANNA                        1698                          1240                          73.03%
LYDIA MILL                    1255                          850                           67.73%
MOUNTVILLE                    633                           481                           75.99%
CLINTON 3                     1430                          1150                          80.42%
JONES                         1734                          1214                          70.01%
OWINGS                        817                           586                           71.73%
GRAY COURT                    1378                          970                           70.39%
GREENPOND                     1686                          1294                          76.75%
COOKS                         2800                          1868                          66.71%
YOUNGS                        1266                          929                           73.38%
ORA-LANFORD                   923                           711                           77.03%
LONG BRANCH                   1219                          971                           79.66%
CROSS HILL                    1773                          1316                          74.22%
WATERLOO                      1613                          1317                          81.65%
MARTINS-POPLAR SPRINGS        717                           554                           77.27%
EKOM                          664                           493                           74.25%
MOUNT OLIVE                   1137                          878                           77.22%
HICKORY TAVERN                2436                          1829                          75.08%
CLINTON MILL                  1413                          862                           61.00%
BREWERTON-PRINCETON           740                           561                           75.81%
Failsafe                      0                             37                            0.00%
Provisional                   0                             33                            0.00%
Failsafe Provisional          0                             21                            0.00%
Total:                        42518                         30739                         72.30%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
HICKORY TAVERN                2436                          1175                          358                           106                           0                             0                             0                             1639                          10                            10                            7                             0                             0                             0                             27                            1666                          
BREWERTON-PRINCETON           740                           427                           57                            34                            0                             0                             0                             518                           6                             1                             3                             0                             0                             0                             10                            528                           
Failsafe                      0                             0                             0                             0                             12                            0                             0                             12                            0                             0                             0                             0                             0                             0                             0                             12                            
Provisional                   0                             0                             0                             0                             0                             10                            0                             10                            0                             0                             0                             0                             0                             0                             0                             10                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       27483                         9005                          3094                          740                           12                            10                            0                             12861                         194                           146                           33                            0                             0                             0                             373                           13234                         

                                                                                                                                                                                                                                   State  House of Representatives, District  42 (Vote For 1)
                                                            REP Doug Gilliam                                                                                                                                                                                                  Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
CLINTON 1                     1495                          377                           142                           28                            0                             0                             0                             547                           8                             6                             2                             0                             0                             0                             16                            563                           
CLINTON 2                     1536                          205                           119                           57                            0                             0                             0                             381                           6                             6                             1                             0                             0                             0                             13                            394                           
JOANNA                        1698                          842                           189                           37                            0                             0                             0                             1068                          9                             2                             1                             0                             0                             0                             12                            1080                          
CLINTON 3                     1430                          559                           234                           77                            0                             0                             0                             870                           7                             4                             1                             0                             0                             0                             12                            882                           
LONG BRANCH                   1219                          14                            16                            1                             0                             0                             0                             31                            0                             0                             0                             0                             0                             0                             0                             31                            
CLINTON MILL                  1413                          17                            5                             0                             0                             0                             0                             22                            0                             1                             0                             0                             0                             0                             1                             23                            
Failsafe                      0                             0                             0                             0                             3                             0                             0                             3                             0                             0                             0                             1                             0                             0                             1                             4                             
Provisional                   0                             0                             0                             0                             0                             3                             0                             3                             0                             0                             0                             0                             0                             0                             0                             3                             
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Totals:                       8791                          2014                          705                           200                           3                             3                             0                             2925                          30                            19                            5                             1                             0                             0                             55                            2980                          

                                                                                                                                                                                                                                    Solicitor, Circuit  8 (Vote For 1)
                                                            REP David Stumbo                                                                                                                                                                                                  Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
LAURENS 1                     719                           102                           121                           5                             0                             0                             0                             228                           5                             3                             0                             0                             0                             0                             8                             236                           
LAURENS 2                     570                           89                            38                            10                            0                             0                             0                             137                           8                             3                             1                             0                             0                             0                             12                            149                           
LAURENS 3                     1029                          199                           134                           19                            0                             0                             0                             352                           5                             5                             1                             0                             0                             0                             11                            363                           
LAURENS 4                     838                           133                           88                            18                            0                             0                             0                             239                           13                            7                             0                             0                             0                             0                             20                            259                           
LAURENS 5                     1572                          467                           361                           72                            0                             0                             0                             900                           14                            8                             0                             0                             0                             0                             22                            922                           
LAURENS 6                     1275                          376                           347                           78                            0                             0                             0                             801                           8                             5                             0                             0                             0                             0                             13                            814                           
BAILEY                        1043                          444                           147                           23                            0                             0                             0                             614                           6                             3                             0                             0                             0                             0                             9                             623                           
TRINITY RIDGE                 1437                          505                           271                           57                            0                             0                             0                             833                           14                            10                            0                             0                             0                             0                             24                            857                           
WATTSVILLE                    1442                          551                           222                           30                            0                             0                             0                             803                           6                             7                             0                             0                             0                             0                             13                            816                           
BARKSDALE-NARINE              1015                          415                           138                           33                            0                             0                             0                             586                           4                             4                             0                             0                             0                             0                             8                             594                           
MADDENS                       1215                          502                           212                           24                            0                             0                             0                             738                           4                             3                             1                             0                             0                             0                             8                             746                           
CLINTON 1                     1495                          457                           177                           66                            0                             0                             0                             700                           7                             5                             3                             0                             0                             0                             15                            715                           
CLINTON 2                     1536                          433                           218                           94                            0                             0                             0                             745                           7                             13                            2                             0                             0                             0                             22                            767                           
JOANNA                        1698                          848                           189                           37                            0                             0                             0                             1074                          6                             3                             1                             0                             0                             0                             10                            1084                          
LYDIA MILL                    1255                          312                           141                           28                            0                             0                             0                             481                           11                            8                             1                             0                             0                             0                             20                            501                           
MOUNTVILLE                    633                           295                           37                            14                            0                             0                             0                             346                           0                             0                             0                             0                             0                             0                             0                             346                           
CLINTON 3                     1430                          617                           261                           89                            0                             0                             0                             967                           6                             3                             0                             0                             0                             0                             9                             976                           
JONES                         1734                          674                           146                           60                            0                             0                             0                             880                           15                            11                            0                             0                             0                             0                             26                            906                           
OWINGS                        817                           365                           81                            23                            0                             0                             0                             469                           9                             3                             0                             0                             0                             0                             12                            481                           
GRAY COURT                    1378                          535                           151                           28                            0                             0                             0                             714                           10                            4                             2                             0                             0                             0                             16                            730                           
GREENPOND                     1686                          935                           161                           66                            0                             0                             0                             1162                          4                             1                             1                             0                             0                             0                             6                             1168                          
COOKS                         2800                          1089                          249                           84                            0                             0                             0                             1422                          34                            15                            1                             0                             0                             0                             50                            1472                          
YOUNGS                        1266                          648                           147                           26                            0                             0                             0                             821                           6                             1                             1                             0                             0                             0                             8                             829                           
ORA-LANFORD                   923                           405                           105                           24                            0                             0                             0                             534                           6                             5                             1                             0                             0                             0                             12                            546                           
LONG BRANCH                   1219                          573                           238                           37                            0                             0                             0                             848                           3                             6                             1                             0                             0                             0                             10                            858                           
CROSS HILL                    1773                          694                           214                           57                            0                             0                             0                             965                           6                             4                             0                             0                             0                             0                             10                            975                           
WATERLOO                      1613                          694                           253                           80                            0                             0                             0                             1027                          7                             4                             0                             0                             0                             0                             11                            1038                          
MARTINS-POPLAR SPRINGS        717                           437                           48                            14                            0                             0                             0                             499                           5                             3                             0                             0                             0                             0                             8                             507                           
EKOM                          664                           334                           91                            18                            0                             0                             0                             443                           1                             2                             0                             0                             0                             0                             3                             446                           
MOUNT OLIVE                   1137                          672                           101                           39                            0                             0                             0                             812                           6                             1                             2                             0                             0                             0                             9                             821                           
HICKORY TAVERN                2436                          1171                          363                           109                           0                             0                             0                             1643                          9                             7                             5                             0                             0                             0                             21                            1664                          
CLINTON MILL                  1413                          350                           88                            25                            0                             0                             0                             463                           11                            11                            4                             0                             0                             0                             26                            489                           
BREWERTON-PRINCETON           740                           432                           58                            36                            0                             0                             0                             526                           3                             0                             2                             0                             0                             0                             5                             531                           
Failsafe                      0                             0                             0                             0                             26                            0                             0                             26                            0                             0                             0                             0                             0                             0                             0                             26                            
Provisional                   0                             0                             0                             0                             0                             24                            0                             24                            0                             0                             0                             0                             0                             0                             0                             24                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             15                            15                            0                             0                             0                             0                             0                             1                             1                             16                            
Totals:                       42518                         16753                         5596                          1423                          26                            24                            15                            23837                         259                           168                           30                            0                             0                             1                             458                           24295                         

                                                                                                                                                                                                                                   Sheriff (Vote For 1)
                                                            REP Don Reynolds                                                                                                                                                                                                  Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
LAURENS 1                     719                           105                           118                           8                             0                             0                             0                             231                           15                            12                            0                             0                             0                             0                             27                            258                           
LAURENS 2                     570                           86                            41                            10                            0                             0                             0                             137                           20                            9                             1                             0                             0                             0                             30                            167                           
LAURENS 3                     1029                          194                           132                           21                            0                             0                             0                             347                           18                            14                            3                             0                             0                             0                             35                            382                           
LAURENS 4                     838                           132                           87                            19                            0                             0                             0                             238                           34                            17                            1                             0                             0                             0                             52                            290                           
LAURENS 5                     1572                          465                           369                           74                            0                             0                             0                             908                           27                            15                            3                             0                             0                             0                             45                            953                           
LAURENS 6                     1275                          364                           347                           84                            0                             0                             0                             795                           19                            13                            1                             0                             0                             0                             33                            828                           
BAILEY                        1043                          442                           142                           23                            0                             0                             0                             607                           17                            11                            2                             0                             0                             0                             30                            637                           
TRINITY RIDGE                 1437                          500                           276                           59                            0                             0                             0                             835                           28                            22                            2                             0                             0                             0                             52                            887                           
WATTSVILLE                    1442                          543                           218                           26                            0                             0                             0                             787                           27                            17                            4                             0                             0                             0                             48                            835                           
BARKSDALE-NARINE              1015                          407                           144                           33                            0                             0                             0                             584                           14                            11                            1                             0                             0                             0                             26                            610                           
MADDENS                       1215                          494                           212                           24                            0                             0                             0                             730                           19                            14                            5                             0                             0                             0                             38                            768                           
CLINTON 1                     1495                          455                           175                           68                            0                             0                             0                             698                           22                            14                            7                             0                             0                             0                             43                            741                           
CLINTON 2                     1536                          436                           224                           95                            0                             0                             0                             755                           15                            15                            8                             0                             0                             0                             38                            793                           
JOANNA                        1698                          826                           190                           37                            0                             0                             0                             1053                          27                            11                            2                             0                             0                             0                             40                            1093                          
LYDIA MILL                    1255                          304                           142                           24                            0                             0                             0                             470                           28                            16                            7                             0                             0                             0                             51                            521                           
MOUNTVILLE                    633                           288                           37                            17                            0                             0                             0                             342                           10                            1                             0                             0                             0                             0                             11                            353                           
CLINTON 3                     1430                          615                           259                           91                            0                             0                             0                             965                           12                            14                            0                             0                             0                             0                             26                            991                           
JONES                         1734                          683                           142                           63                            0                             0                             0                             888                           14                            13                            0                             0                             0                             0                             27                            915                           
OWINGS                        817                           367                           86                            20                            0                             0                             0                             473                           13                            1                             4                             0                             0                             0                             18                            491                           
GRAY COURT                    1378                          544                           157                           27                            0                             0                             0                             728                           21                            5                             3                             0                             0                             0                             29                            757                           
GREENPOND                     1686                          938                           160                           64                            0                             0                             0                             1162                          9                             10                            7                             0                             0                             0                             26                            1188                          
COOKS                         2800                          1103                          246                           86                            0                             0                             0                             1435                          32                            23                            5                             0                             0                             0                             60                            1495                          
YOUNGS                        1266                          654                           147                           27                            0                             0                             0                             828                           9                             4                             1                             0                             0                             0                             14                            842                           
ORA-LANFORD                   923                           389                           106                           23                            0                             0                             0                             518                           30                            9                             3                             0                             0                             0                             42                            560                           
LONG BRANCH                   1219                          564                           239                           34                            0                             0                             0                             837                           16                            10                            3                             0                             0                             0                             29                            866                           
CROSS HILL                    1773                          694                           221                           59                            0                             0                             0                             974                           28                            6                             4                             0                             0                             0                             38                            1012                          
WATERLOO                      1613                          682                           255                           78                            0                             0                             0                             1015                          23                            8                             1                             0                             0                             0                             32                            1047                          
MARTINS-POPLAR SPRINGS        717                           428                           47                            13                            0                             0                             0                             488                           12                            4                             0                             0                             0                             0                             16                            504                           
