




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
St. Andrews 24                1275                          403                           31.61%
St. Andrews 25                1473                          394                           26.75%
St. Andrews 26                1340                          512                           38.21%
St. Andrews 27                4211                          1562                          37.09%
St. Andrews 28                2852                          801                           28.09%
St. Andrews 29                3277                          1155                          35.25%
St. Andrews 30                2120                          558                           26.32%
St. Andrews 31                1163                          418                           35.94%
St. Andrews 32                1135                          533                           46.96%
St. Andrews 33                700                           276                           39.43%
St. Andrews 34                2301                          876                           38.07%
St. Andrews 35                1761                          761                           43.21%
St. Andrews 36                1605                          712                           44.36%
St. Andrews 37                3969                          1219                          30.71%
North Charleston 1            824                           275                           33.37%
North Charleston 2            465                           126                           27.10%
North Charleston 3            1202                          572                           47.59%
North Charleston 4            1129                          417                           36.94%
North Charleston 5            1606                          494                           30.76%
North Charleston 6            1256                          426                           33.92%
North Charleston 7            1379                          343                           24.87%
North Charleston 8            905                           337                           37.24%
North Charleston 9            1468                          536                           36.51%
North Charleston 10           1280                          412                           32.19%
North Charleston 11           880                           348                           39.55%
North Charleston 12           921                           400                           43.43%
North Charleston 13           828                           226                           27.29%
North Charleston 14           600                           233                           38.83%
North Charleston 15           1230                          365                           29.67%
North Charleston 16           913                           294                           32.20%
North Charleston 17           768                           178                           23.18%
North Charleston 18           1618                          550                           33.99%
North Charleston 19           993                           343                           34.54%
North Charleston 20           724                           316                           43.65%
North Charleston 21           1270                          424                           33.39%
North Charleston 22           1352                          481                           35.58%
North Charleston 23           1931                          721                           37.34%
North Charleston 24           2446                          791                           32.34%
North Charleston 25           620                           244                           39.35%
North Charleston 26           398                           154                           38.69%
North Charleston 27           1005                          317                           31.54%
North Charleston 28           782                           215                           27.49%
North Charleston 29           798                           279                           34.96%
North Charleston 30           1745                          709                           40.63%
Absentee                      0                             39966                         0.00%
Emergency                     0                             56                            0.00%
Failsafe                      0                             237                           0.00%
Provisional                   0                             176                           0.00%
Failsafe/Provisional          0                             154                           0.00%
Total:                        273479                        149136                        54.53%

                                                                                                                                                                                                                                   STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    Libertarian                                                 
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Awendaw                       1314                          229                           229                           3                             3                             3                             3                             3                             3                             172                           172                           0                             0                             0                             0                             410                           
Christ Church                 912                           157                           157                           0                             0                             1                             1                             1                             1                             125                           125                           1                             1                             0                             0                             285                           
Isle Of Palms 1A              1042                          73                            73                            2                             2                             0                             0                             2                             2                             188                           188                           0                             0                             0                             0                             265                           
Isle of Palms 1B              1408                          103                           103                           2                             2                             1                             1                             0                             0                             243                           243                           2                             2                             0                             0                             351                           
Isle of Palms 1C              1622                          95                            95                            0                             0                             1                             1                             1                             1                             327                           327                           0                             0                             0                             0                             424                           
Sullivans Island              1648                          169                           169                           1                             1                             1                             1                             1                             1                             233                           233                           2                             2                             0                             0                             407                           
McClellanville                1568                          395                           395                           1                             1                             5                             5                             3                             3                             166                           166                           0                             0                             0                             0                             570                           
Deer Park 1A                  1313                          181                           181                           3                             3                             3                             3                             1                             1                             77                            77                            2                             2                             0                             0                             267                           
Deer Park 1B                  3078                          306                           306                           3                             3                             0                             0                             0                             0                             207                           207                           3                             3                             0                             0                             519                           
Deer Park 2A                  2782                          290                           290                           6                             6                             1                             1                             1                             1                             244                           244                           3                             3                             0                             0                             545                           
Deer Park 2B                  1900                          218                           218                           5                             5                             4                             4                             1                             1                             118                           118                           4                             4                             0                             0                             350                           
Deer Park 2C                  1010                          119                           119                           5                             5                             1                             1                             0                             0                             131                           131                           3                             3                             0                             0                             259                           
Deer Park 3                   1921                          350                           350                           6                             6                             2                             2                             6                             6                             135                           135                           2                             2                             0                             0                             501                           
Lincolnville                  1744                          329                           329                           5                             5                             4                             4                             2                             2                             217                           217                           1                             1                             0                             0                             558                           
Ladson                        2808                          403                           403                           7                             7                             2                             2                             1                             1                             224                           224                           5                             5                             0                             0                             642                           
Edisto Island                 1491                          236                           236                           1                             1                             2                             2                             1                             1                             220                           220                           2                             2                             4                             4                             466                           
Wadmalaw Island 1             1056                          180                           180                           2                             2                             2                             2                             1                             1                             129                           129                           2                             2                             2                             2                             318                           
