




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Ward 18                       1183                          423                           423                           14                            14                            65                            65                            0                             0                             502                           
Ward 19                       1373                          435                           435                           10                            10                            11                            11                            0                             0                             456                           
Ward 20                       1802                          629                           629                           29                            29                            153                           153                           1                             1                             812                           
Ward 21                       1594                          576                           576                           17                            17                            18                            18                            0                             0                             611                           
Ward 22                       1506                          617                           617                           14                            14                            22                            22                            0                             0                             653                           
Ward 23                       956                           316                           316                           14                            14                            174                           174                           2                             2                             506                           
Ward 24                       952                           198                           198                           7                             7                             349                           349                           2                             2                             556                           
Ward 25                       1585                          287                           287                           21                            21                            628                           628                           4                             4                             940                           
Ward 26                       1509                          377                           377                           21                            21                            185                           185                           1                             1                             584                           
Ward 29                       1363                          488                           488                           14                            14                            22                            22                            0                             0                             524                           
Ward 30                       1139                          253                           253                           9                             9                             130                           130                           1                             1                             393                           
Ward 31                       951                           320                           320                           11                            11                            14                            14                            0                             0                             345                           
Ward 32                       958                           255                           255                           5                             5                             6                             6                             0                             0                             266                           
Ward 33                       1057                          309                           309                           15                            15                            69                            69                            0                             0                             393                           
Ward 34                       1171                          319                           319                           23                            23                            229                           229                           2                             2                             573                           
Arcadia                       1529                          425                           425                           18                            18                            339                           339                           0                             0                             782                           
Ardincaple                    498                           223                           223                           7                             7                             9                             9                             0                             0                             239                           
Ballentine 1                  1458                          263                           263                           16                            16                            436                           436                           0                             0                             715                           
Ballentine 2                  1813                          230                           230                           18                            18                            655                           655                           0                             0                             903                           
Beatty Road                   973                           272                           272                           10                            10                            32                            32                            0                             0                             314                           
Bluff                         2014                          822                           822                           17                            17                            31                            31                            1                             1                             871                           
Blythewood 1                  1828                          334                           334                           19                            19                            622                           622                           0                             0                             975                           
Blythewood 2                  2209                          605                           605                           33                            33                            562                           562                           0                             0                             1200                          
Blythewood 3                  2329                          700                           700                           39                            39                            494                           494                           0                             0                             1233                          
Bookman                       2814                          909                           909                           45                            45                            499                           499                           0                             0                             1453                          
Brandon 1                     1883                          637                           637                           22                            22                            172                           172                           1                             1                             832                           
Brandon 2                     1952                          625                           625                           16                            16                            128                           128                           0                             0                             769                           
Briarwood                     2596                          806                           806                           28                            28                            260                           260                           2                             2                             1096                          
Bridge Creek                  2095                          793                           793                           26                            26                            220                           220                           1                             1                             1040                          
Caughman Road                 1919                          624                           624                           20                            20                            217                           217                           2                             2                             863                           
College Place                 1575                          544                           544                           15                            15                            24                            24                            1                             1                             584                           
Cooper                        1192                          278                           278                           14                            14                            361                           361                           1                             1                             654                           
Dennyside                     1056                          275                           275                           14                            14                            182                           182                           0                             0                             471                           
Dentsville                    2220                          725                           725                           27                            27                            61                            61                            0                             0                             813                           
Dutch Fork 1                  1228                          176                           176                           11                            11                            417                           417                           0                             0                             604                           
Dutch Fork 2                  1386                          338                           338                           20                            20                            349                           349                           3                             3                             710                           
Dutch Fork 3                  2295                          430                           430                           36                            36                            805                           805                           0                             0                             1271                          
Dutch Fork 4                  1704                          357                           357                           15                            15                            533                           533                           0                             0                             905                           
Eastover                      1295                          545                           545                           11                            11                            48                            48                            0                             0                             604                           
Edgewood                      1916                          574                           574                           20                            20                            31                            31                            0                             0                             625                           
Estates                       2105                          605                           605                           25                            25                            436                           436                           2                             2                             1068                          
Fairlawn                      2853                          1005                          1005                          26                            26                            195                           195                           0                             0                             1226                          
Fairwold                      852                           342                           342                           16                            16                            10                            10                            0                             0                             368                           
East Forest Acres             1304                          213                           213                           15                            15                            449                           449                           2                             2                             679                           
North Forest Acres            1389                          345                           345                           20                            20                            289                           289                           3                             3                             657                           
South Forest Acres            1583                          358                           358                           18                            18                            476                           476                           2                             2                             854                           
Friarsgate 1                  1592                          459                           459                           32                            32                            304                           304                           1                             1                             796                           
Friarsgate 2                  1413                          363                           363                           16                            16                            318                           318                           1                             1                             698                           
Old Friarsgate                1306                          370                           370                           17                            17                            268                           268                           0                             0                             655                           
Gadsden                       1400                          631                           631                           15                            15                            38                            38                            2                             2                             686                           
Garners                       913                           273                           273                           7                             7                             129                           129                           0                             0                             409                           
Greenview                     1673                          755                           755                           16                            16                            11                            11                            0                             0                             782                           
Gregg Park                    2076                          467                           467                           25                            25                            353                           353                           1                             1                             846                           
Hampton                       1664                          485                           485                           24                            24                            214                           214                           1                             1                             724                           
Harbison 1                    2204                          658                           658                           23                            23                            236                           236                           1                             1                             918                           
Harbison 2                    1339                          397                           397                           18                            18                            181                           181                           2                             2                             598                           
Hopkins 1                     1392                          539                           539                           14                            14                            56                            56                            0                             0                             609                           
Hopkins 2                     1641                          579                           579                           11                            11                            97                            97                            1                             1                             688                           
Horrell Hill                  2297                          539                           539                           20                            20                            390                           390                           1                             1                             950                           
Hunting Creek                 481                           130                           130                           5                             5                             97                            97                            0                             0                             232                           
Keels 1                       1972                          615                           615                           21                            21                            82                            82                            0                             0                             718                           
Keels 2                       1474                          509                           509                           10                            10                            37                            37                            1                             1                             557                           
Keenan                        1756                          570                           570                           26                            26                            264                           264                           0                             0                             860                           
Kelly Mill                    1977                          566                           566                           26                            26                            337                           337                           0                             0                             929                           
Killian                       2162                          740                           740                           24                            24                            282                           282                           0                             0                             1046                          
Kingswood                     2818                          1031                          1031                          37                            37                            171                           171                           1                             1                             1240                          
Lake Carolina                 2922                          838                           838                           39                            39                            570                           570                           0                             0                             1447                          
Lincolnshire                  2114                          855                           855                           22                            22                            16                            16                            0                             0                             893                           
Longcreek                     4395                          1036                          1036                          46                            46                            1193                          1193                          2                             2                             2277                          
Longleaf                      1683                          740                           740                           15                            15                            79                            79                            0                             0                             834                           
Lykesland                     1809                          588                           588                           18                            18                            238                           238                           1                             1                             845                           
Mallet Hill                   2582                          770                           770                           27                            27                            378                           378                           0                             0                             1175                          
Meadowfield                   1717                          401                           401                           23                            23                            475                           475                           3                             3                             902                           
Meadowlake                    2218                          828                           828                           19                            19                            22                            22                            0                             0                             869                           
McEntire                      842                           232                           232                           9                             9                             142                           142                           0                             0                             383                           
Midway                        2652                          842                           842                           33                            33                            149                           149                           1                             1                             1025                          
Mill Creek                    1246                          414                           414                           29                            29                            117                           117                           0                             0                             560                           
Monticello                    1727                          469                           469                           19                            19                            338                           338                           0                             0                             826                           
North Springs 1               1304                          396                           396                           17                            17                            244                           244                           0                             0                             657                           
North Springs 2               2896                          807                           807                           28                            28                            477                           477                           1                             1                             1313                          
North Springs 3               1934                          780                           780                           25                            25                            149                           149                           0                             0                             954                           
Oak Pointe 1                  1273                          350                           350                           14                            14                            352                           352                           1                             1                             717                           
Oak Pointe 2                  722                           170                           170                           10                            10                            210                           210                           0                             0                             390                           
Oak Pointe 3                  1059                          310                           310                           10                            10                            241                           241                           0                             0                             561                           
Oakwood                       977                           264                           264                           4                             4                             248                           248                           0                             0                             516                           
Olympia                       2280                          479                           479                           14                            14                            158                           158                           1                             1                             652                           
Parkridge 1                   936                           255                           255                           19                            19                            212                           212                           0                             0                             486                           
Parkridge 2                   918                           183                           183                           9                             9                             127                           127                           0                             0                             319                           
Parkway 1                     2248                          887                           887                           34                            34                            165                           165                           0                             0                             1086                          
Parkway 2                     2201                          804                           804                           28                            28                            274                           274                           0                             0                             1106                          
Parkway 3                     1840                          778                           778                           27                            27                            96                            96                            0                             0                             901                           
Pennington 1                  1012                          187                           187                           10                            10                            498                           498                           2                             2                             697                           
Pennington 2                  1454                          384                           384                           23                            23                            403                           403                           2                             2                             812                           
Pine Grove                    1632                          614                           614                           23                            23                            76                            76                            0                             0                             713                           
Pine Lakes 1                  1117                          404                           404                           20                            20                            33                            33                            1                             1                             458                           
Pine Lakes 2                  1555                          570                           570                           23                            23                            50                            50                            0                             0                             643                           
Pinewood                      1838                          666                           666                           16                            16                            106                           106                           0                             0                             788                           
Polo Road                     2456                          760                           760                           28                            28                            265                           265                           2                             2                             1055                          
Pontiac 1                     2458                          630                           630                           32                            32                            444                           444                           0                             0                             1106                          
Pontiac 2                     1583                          412                           412                           19                            19                            384                           384                           0                             0                             815                           
Rice Creek 1                  1692                          620                           620                           28                            28                            92                            92                            0                             0                             740                           
Rice Creek 2                  2681                          974                           974                           29                            29                            206                           206                           1                             1                             1210                          
Ridge View 1                  2391                          794                           794                           30                            30                            246                           246                           3                             3                             1073                          
Ridge View 2                  2926                          987                           987                           40                            40                            273                           273                           4                             4                             1304                          
Ridgewood                     676                           281                           281                           11                            11                            8                             8                             1                             1                             301                           
Riverside                     1278                          327                           327                           14                            14                            98                            98                            0                             0                             439                           
Riversprings 1                1149                          218                           218                           7                             7                             420                           420                           0                             0                             645                           
Riversprings 2                1406                          387                           387                           15                            15                            315                           315                           0                             0                             717                           
Riversprings 3                1477                          323                           323                           13                            13                            442                           442                           1                             1                             779                           
Riverwalk                     2773                          811                           811                           42                            42                            533                           533                           0                             0                             1386                          
Round Top                     720                           244                           244                           7                             7                             134                           134                           0                             0                             385                           
St. Andrews                   1223                          377                           377                           14                            14                            125                           125                           0                             0                             516                           
Sandlapper                    2715                          1122                          1122                          39                            39                            236                           236                           0                             0                             1397                          
Satchelford                   1388                          340                           340                           22                            22                            471                           471                           0                             0                             833                           
Skyland                       1124                          312                           312                           10                            10                            117                           117                           0                             0                             439                           
South Beltline                1420                          391                           391                           18                            18                            166                           166                           0                             0                             575                           
Spring Hill                   2140                          216                           216                           18                            18                            947                           947                           0                             0                             1181                          
Spring Valley                 2754                          734                           734                           37                            37                            507                           507                           0                             0                             1278                          
Spring Valley West            2790                          926                           926                           39                            39                            257                           257                           0                             0                             1222                          
Springville 1                 1972                          254                           254                           23                            23                            781                           781                           1                             1                             1059                          
Springville 2                 1783                          204                           204                           11                            11                            716                           716                           1                             1                             932                           
Trenholm Road                 1057                          224                           224                           13                            13                            314                           314                           1                             1                             552                           
Trinity                       1260                          397                           397                           20                            20                            177                           177                           0                             0                             594                           
Valhalla                      2299                          594                           594                           33                            33                            502                           502                           2                             2                             1131                          
Valley State Park             3055                          1180                          1180                          49                            49                            155                           155                           1                             1                             1385                          
Walden                        1128                          315                           315                           15                            15                            53                            53                            0                             0                             383                           
Webber                        1120                          342                           342                           17                            17                            144                           144                           0                             0                             503                           
Westminster                   1800                          484                           484                           38                            38                            87                            87                            2                             2                             611                           
Whitewell                     1829                          521                           521                           15                            15                            65                            65                            0                             0                             601                           
Wildewood                     2869                          601                           601                           43                            43                            639                           639                           2                             2                             1285                          
Woodfield                     2596                          748                           748                           39                            39                            245                           245                           0                             0                             1032                          
Woodlands                     2178                          495                           495                           28                            28                            764                           764                           1                             1                             1288                          
Absentee                      0                             9662                          9662                          285                           285                           4843                          4843                          14                            14                            14804                         
Absentee 2                    0                             8509                          8509                          179                           179                           1381                          1381                          1                             1                             10070                         
Emergency                     0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Emergency 2                   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
