




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
BELLS                         307                           216                           70.36%
CANADYS                       600                           411                           68.50%
COTTAGEVILLE                  1770                          1220                          68.93%
EDISTO                        362                           245                           67.68%
GREEN POND                    939                           667                           71.03%
HENDERSONVILLE                1162                          845                           72.72%
HORSE PEN                     705                           489                           69.36%
HUDSON MILL                   617                           439                           71.15%
JACKSONBORO                   361                           240                           66.48%
MAPLE CANE                    1060                          730                           68.87%
MASHAWVILLE                   800                           588                           73.50%
PEEPLES                       1263                          791                           62.63%
PETITS                        260                           199                           76.54%
PENIEL                        1037                          647                           62.39%
RITTER                        773                           527                           68.18%
ROUND O                       1141                          718                           62.93%
RICE PATCH                    644                           481                           74.69%
RUFFIN                        303                           209                           68.98%
SIDNEYS                       609                           426                           69.95%
STOKES                        718                           509                           70.89%
SNIDERS                       663                           487                           73.45%
Walterboro No. 1              1425                          943                           66.18%
Walterboro No. 2              1338                          740                           55.31%
Walterboro No. 3              1568                          1004                          64.03%
Walterboro No. 4              1615                          1109                          68.67%
WILLIAMS                      314                           231                           73.57%
WOLF CREEK                    400                           302                           75.50%
EDISTO BEACH                  1156                          955                           82.61%
Walterboro No. 5              1624                          1198                          73.77%
ASHTON-LODGE                  500                           369                           73.80%
BEREA-SMOAKS                  976                           659                           67.52%
Walterboro No. 6              1358                          798                           58.76%
Failsafe                      0                             0                             0.00%
Provisional                   0                             63                            0.00%
Failsafe Provisional          0                             8                             0.00%
Total:                        28368                         19463                         68.61%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
PENIEL                        1037                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             99                            106                           23                            0                             0                             0                             228                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             60                            99                            23                            0                             0                             0                             182                           413                           
RITTER                        773                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             63                            31                            3                             0                             0                             0                             97                            0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             121                           131                           44                            0                             0                             0                             296                           395                           
ROUND O                       1141                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             217                           79                            12                            0                             0                             0                             308                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             71                            67                            22                            0                             0                             0                             160                           473                           
RICE PATCH                    644                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             148                           41                            4                             0                             0                             0                             193                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             52                            55                            11                            0                             0                             0                             118                           313                           
RUFFIN                        303                           0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             42                            15                            9                             0                             0                             0                             66                            0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             36                            24                            15                            0                             0                             0                             75                            144                           
SIDNEYS                       609                           2                             0                             0                             0                             0                             0                             2                             1                             1                             0                             0                             0                             0                             2                             171                           46                            17                            0                             0                             0                             234                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             27                            25                            14                            0                             0                             0                             66                            305                           
STOKES                        718                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             160                           87                            16                            0                             0                             0                             263                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             28                            26                            4                             0                             0                             0                             58                            322                           
SNIDERS                       663                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             158                           52                            11                            0                             0                             0                             221                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             35                            47                            9                             0                             0                             0                             91                            314                           
Walterboro No. 1              1425                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             106                           148                           21                            0                             0                             0                             275                           0                             0                             0                             0                             0                             0                             0                             3                             0                             1                             0                             0                             0                             4                             65                            180                           57                            0                             0                             0                             302                           582                           
Walterboro No. 2              1338                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             65                            85                            12                            0                             0                             0                             162                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             82                            173                           51                            0                             0                             0                             306                           470                           
Walterboro No. 3              1568                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             45                            53                            3                             0                             0                             0                             101                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             177                           325                           70                            0                             0                             0                             572                           673                           
Walterboro No. 4              1615                          2                             0                             0                             0                             0                             0                             2                             1                             1                             0                             0                             0                             0                             2                             143                           190                           43                            0                             0                             0                             376                           0                             0                             0                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             3                             72                            118                           35                            0                             0                             0                             225                           608                           
WILLIAMS                      314                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             77                            9                             1                             0                             0                             0                             87                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             42                            12                            7                             0                             0                             0                             61                            148                           
WOLF CREEK                    400                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             106                           51                            7                             0                             0                             0                             164                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             11                            12                            4                             0                             0                             0                             27                            192                           
EDISTO BEACH                  1156                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             327                           65                            69                            0                             0                             0                             461                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             51                            23                            33                            0                             0                             0                             107                           569                           
Walterboro No. 5              1624                          0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             150                           282                           67                            0                             0                             0                             499                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             45                            98                            25                            0                             0                             0                             168                           669                           
ASHTON-LODGE                  500                           1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             156                           15                            5                             0                             0                             0                             176                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             32                            15                            11                            0                             0                             0                             58                            238                           
BEREA-SMOAKS                  976                           1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             121                           45                            19                            0                             0                             0                             185                           0                             0                             1                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             127                           115                           28                            0                             0                             0                             270                           459                           
Walterboro No. 6              1358                          0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             114                           94                            13                            0                             0                             0                             221                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             88                            158                           42                            0                             0                             0                             288                           511                           
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
