




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANDREWS                       1709                          1085                          63.49%
ANDREWS OUTSIDE               1072                          720                           67.16%
BETHEL                        996                           735                           73.80%
BLACK RIVER                   1530                          1169                          76.41%
BROWN'S FERRY                 1792                          1326                          74.00%
CARVER'S BAY                  214                           166                           77.57%
LAMBERT TOWN                  485                           388                           80.00%
CHOPPEE                       1020                          742                           72.75%
DREAM KEEPERS                 1009                          633                           62.74%
FOLLY GROVE                   833                           638                           76.59%
GEORGETOWN NO. 1              950                           719                           75.68%
GEORGETOWN NO. 3              1480                          873                           58.99%
GEORGETOWN NO. 4              539                           383                           71.06%
GEORGETOWN NO. 5              1745                          1193                          68.37%
PEE DEE                       603                           454                           75.29%
KENSINGTON                    1157                          880                           76.06%
MURRELL'S INLET NO. 1         3381                          2732                          80.80%
MURRELL'S INLET NO. 2         2464                          1774                          72.00%
MURRELL'S INLET NO. 3         946                           675                           71.35%
MURRELL'S INLET NO. 4         1623                          1256                          77.39%
MYERSVILLE                    464                           318                           68.53%
PAWLEY'S ISLAND NO. 1         3263                          2678                          82.07%
PAWLEY'S ISLAND NO. 2         3617                          2780                          76.86%
PAWLEY'S ISLAND NO. 3         2746                          2100                          76.47%
PAWLEY'S ISLAND NO. 4         2850                          2295                          80.53%
PAWLEY'S ISLAND NO. 5         3181                          2551                          80.19%
PENNY ROYAL                   529                           401                           75.80%
PLANTERSVILLE                 705                           507                           71.91%
PLEASANT HILL                 939                           694                           73.91%
POTATO BED FERRY              663                           517                           77.98%
SAMPIT                        983                           727                           73.96%
SANTEE                        1203                          848                           70.49%
SPRING GULLY                  1832                          1270                          69.32%
WINYAH BAY                    929                           715                           76.96%
Failsafe                      0                             0                             0.00%
Provisional                   0                             59                            0.00%
Failsafe Provisional          0                             34                            0.00%
Total:                        49452                         37035                         74.89%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
GEORGETOWN NO. 4              539                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             65                            54                            8                             0                             0                             0                             127                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             21                            39                            8                             0                             0                             0                             68                            195                           
GEORGETOWN NO. 5              1745                          0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             262                           159                           32                            0                             0                             0                             453                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             106                           156                           47                            0                             0                             0                             309                           766                           
PEE DEE                       603                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             55                            30                            2                             0                             0                             0                             87                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             224                           40                            18                            0                             0                             0                             282                           369                           
KENSINGTON                    1157                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             243                           156                           24                            0                             0                             0                             423                           0                             0                             1                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             41                            63                            17                            0                             0                             0                             121                           547                           
MURRELL'S INLET NO. 1         3381                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             515                           645                           187                           0                             0                             0                             1347                          0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             78                            152                           102                           0                             0                             0                             332                           1681                          
MURRELL'S INLET NO. 2         2464                          1                             1                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             0                             2                             472                           305                           81                            0                             0                             0                             858                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             100                           136                           69                            0                             0                             0                             305                           1168                          
MURRELL'S INLET NO. 3         946                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             225                           98                            27                            0                             0                             0                             350                           0                             0                             0                             0                             0                             0                             0                             2                             0                             1                             0                             0                             0                             3                             33                            31                            33                            0                             0                             0                             97                            450                           
MURRELL'S INLET NO. 4         1623                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             455                           203                           59                            0                             0                             0                             717                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             43                            36                            14                            0                             0                             0                             93                            814                           
MYERSVILLE                    464                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             11                            5                             0                             0                             0                             0                             16                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             176                           43                            12                            0                             0                             0                             231                           247                           
PAWLEY'S ISLAND NO. 1         3263                          1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             452                           549                           202                           0                             0                             0                             1203                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             46                            130                           124                           0                             0                             0                             300                           1506                          
PAWLEY'S ISLAND NO. 2         3617                          0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             334                           526                           141                           0                             0                             0                             1001                          0                             0                             0                             0                             0                             0                             0                             2                             1                             2                             0                             0                             0                             5                             157                           314                           177                           0                             0                             0                             648                           1657                          
PAWLEY'S ISLAND NO. 3         2746                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             399                           395                           112                           0                             0                             0                             906                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             92                            131                           89                            0                             0                             0                             312                           1220                          
PAWLEY'S ISLAND NO. 4         2850                          2                             0                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             0                             2                             387                           546                           181                           0                             0                             0                             1114                          0                             0                             0                             0                             0                             0                             0                             2                             1                             1                             0                             0                             0                             4                             39                            136                           61                            0                             0                             0                             236                           1358                          
PAWLEY'S ISLAND NO. 5         3181                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             389                           576                           179                           0                             0                             0                             1144                          0                             0                             0                             0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             6                             39                            117                           126                           0                             0                             0                             282                           1433                          
PENNY ROYAL                   529                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             109                           39                            8                             0                             0                             0                             156                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             41                            61                            20                            0                             0                             0                             122                           278                           
PLANTERSVILLE                 705                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             77                            32                            8                             0                             0                             0                             117                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             171                           71                            34                            0                             0                             0                             276                           393                           
PLEASANT HILL                 939                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             262                           34                            9                             0                             0                             0                             305                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             54                            81                            30                            0                             0                             0                             165                           470                           
POTATO BED FERRY              663                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             221                           31                            5                             0                             0                             0                             257                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             120                           31                            6                             0                             0                             0                             157                           414                           
SAMPIT                        983                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             88                            29                            4                             0                             0                             0                             121                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             176                           226                           44                            0                             0                             0                             446                           568                           
SANTEE                        1203                          0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             75                            22                            6                             0                             0                             0                             103                           0                             0                             0                             0                             0                             0                             0                             2                             0                             1                             0                             0                             0                             3                             288                           212                           37                            0                             0                             0                             537                           644                           
SPRING GULLY                  1832                          0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             260                           162                           9                             0                             0                             0                             431                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             149                           309                           61                            0                             0                             0                             519                           953                           
