




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Airport                       1304                          886                           67.94%
Antioch                       894                           656                           73.38%
Bethune                       1263                          905                           71.65%
Buffalo                       1078                          755                           70.04%
Camden No. 1                  1671                          1129                          67.56%
Camden No. 2 & 3              416                           291                           69.95%
Hobkirk's Hill                1835                          1378                          75.10%
Camden No. 5                  972                           734                           75.51%
Camden No. 5-A                616                           433                           70.29%
Camden No. 6                  418                           302                           72.25%
Cassatt                       1691                          1079                          63.81%
Charlotte Thompson            1678                          1239                          73.84%
Doby's Mill                   2099                          1332                          63.46%
E. Camden-Hermitage           592                           375                           63.34%
Elgin No. 1                   2478                          1850                          74.66%
Elgin No. 2                   1905                          1356                          71.18%
Elgin No. 3                   1489                          1068                          71.73%
Elgin No. 4                   2189                          1468                          67.06%
Elgin No. 5                   1516                          1058                          69.79%
Elgin No. 6                   1411                          947                           67.12%
Gates Ford                    374                           273                           72.99%
Liberty Hill                  600                           461                           76.83%
Lugoff No. 1                  1398                          983                           70.31%
Lugoff No. 2                  2010                          1432                          71.24%
Lugoff No. 3                  1764                          1275                          72.28%
Lugoff No. 4                  1479                          1144                          77.35%
Malvern Hill                  1494                          1078                          72.16%
Rabon's X Roads               2139                          1644                          76.86%
Riverdale                     917                           546                           59.54%
Salt Pond                     1483                          1001                          67.50%
Shaylor's Hill                1020                          746                           73.14%
Springdale                    1970                          1494                          75.84%
Westville                     1709                          1218                          71.27%
Whites Gardens                1819                          1285                          70.64%
Failsafe                      0                             0                             0.00%
Provisional                   0                             12                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        47691                         33840                         70.96%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
E. Camden-Hermitage           592                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             64                            71                            10                            0                             0                             0                             145                           0                             0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             2                             32                            46                            11                            0                             0                             0                             89                            236                           
Elgin No. 1                   2478                          2                             2                             0                             0                             0                             0                             4                             1                             1                             0                             0                             0                             0                             2                             452                           261                           66                            0                             0                             0                             779                           0                             0                             1                             0                             0                             0                             1                             2                             4                             1                             0                             0                             0                             7                             146                           225                           68                            0                             0                             0                             439                           1232                          
Elgin No. 2                   1905                          1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             323                           177                           39                            0                             0                             0                             539                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             107                           167                           51                            0                             0                             0                             325                           866                           
Elgin No. 3                   1489                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             241                           178                           32                            0                             0                             0                             451                           0                             0                             0                             0                             0                             0                             0                             4                             0                             0                             0                             0                             0                             4                             101                           136                           49                            0                             0                             0                             286                           741                           
Elgin No. 4                   2189                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             385                           182                           50                            0                             0                             0                             617                           0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             136                           171                           53                            0                             0                             0                             360                           979                           
Elgin No. 5                   1516                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             347                           132                           37                            0                             0                             0                             516                           0                             0                             0                             0                             0                             0                             0                             6                             1                             0                             0                             0                             0                             7                             96                            94                            25                            0                             0                             0                             215                           738                           
Elgin No. 6                   1411                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             219                           97                            16                            0                             0                             0                             332                           0                             0                             0                             0                             0                             0                             0                             5                             1                             0                             0                             0                             0                             6                             109                           176                           37                            0                             0                             0                             322                           661                           
Gates Ford                    374                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             109                           38                            4                             0                             0                             0                             151                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             9                             4                             3                             0                             0                             0                             16                            168                           
Liberty Hill                  600                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             152                           59                            28                            0                             0                             0                             239                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             32                            24                            9                             0                             0                             0                             65                            304                           
Lugoff No. 1                  1398                          2                             1                             0                             0                             0                             0                             3                             0                             0                             1                             0                             0                             0                             1                             158                           181                           24                            0                             0                             0                             363                           0                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             4                             84                            121                           40                            0                             0                             0                             245                           616                           
