,join_col
177,003-Srs
189,009-Hightower's mill
197,011-Barnwell no. 1
198,011-Barnwell no. 2
199,011-Barnwell no. 3
200,011-Barnwell no. 4
201,011-Blackville no. 1
202,011-Blackville no. 2
207,011-Williston no. 1
208,011-Williston no. 2
209,011-Williston no. 3
210,011-Srs
456,025-Angelus-catarrh
918,063-Lake murray #1
920,063-Old barnwell rd
921,063-Beulah church
928,063-Red bank south #1
932,063-Edmund #1
937,063-Pelion #1
939,063-Swansea #1
941,063-Gaston #1
950,063-Cayce ward no.1
951,063-Cayce ward no.2
952,063-Cayce ward no.3
954,063-Congaree #1
958,063-W columbia no 1
959,063-W columbia no 2
960,063-W columbia no 3
961,063-W columbia no 4
969,063-Cayce ward 2-a
970,063-Barr road #1
977,063-Pilgrim church
986,063-Park road #1
988,063-Gaston #2
989,063-Lake murray #2
990,063-Congaree #2
991,063-St davids
992,063-Mt hebron
993,063-Sandhill
994,063-Edmund #2
995,063-Swansea #2
996,063-Pelion #2
1004,063-Park road #2
1005,063-Barr road #2
1006,063-Red bank south #2
2042,053-Okatie
2254,063-Pineridge #1
2255,063-Pineridge #2
