,join_col
2263,009-Hightowers mill
2264,011-Barnwell 1
2265,011-Barnwell 2
2266,011-Barnwell 3
2267,011-Barnwell 4
2268,011-Blackville 1
2269,011-Blackville 2
2270,011-Williston 1
2271,011-Williston 2
2272,011-Williston 3
2273,025-Angelus-cararrh
2274,053-Oakatie
2275,063-Lake murray 1
2276,063-Old barnwell road
2277,063-Beulah  church
2278,063-Red bank south 1
2279,063-Edmund 1
2280,063-Pelion 1
2281,063-Swansea 1
2282,063-Gaston 1
2283,063-Cayce no. 1
2284,063-Cayce no. 2
2285,063-Cayce no. 3
2286,063-Congaree 1
2287,063-Pine ridge 1
2288,063-West columbia no. 1
2289,063-West columbia no. 2
2290,063-West columbia no. 3
2291,063-West columbia no. 4
2292,063-Cayce 2a
2293,063-Barr road 1
2294,063-Pilgrim chruch
2295,063-Park road 1
2296,063-Gaston 2
2297,063-Lake murray 2
2298,063-Congaree 2
2299,063-St. davids
2300,063-Mt. hebron
2301,063-Sand hill
2302,063-Edmund 2
2303,063-Swansea 2
2304,063-Pelion 2
2305,063-Barr road 2
2306,063-Park road 2
2307,063-Pine ridge 2
2308,063-Red bank south 2
