vest_ID,election_ID
009-Hightower's mill,009-Hightowers mill
011-Barnwell no. 1,011-Barnwell 1
011-Barnwell no. 2,011-Barnwell 2
011-Barnwell no. 3,011-Barnwell 3
011-Barnwell no. 4,011-Barnwell 4
011-Blackville no. 1,011-Blackville 1
011-Blackville no. 2,011-Blackville 2
011-Williston no. 1,011-Williston 1
011-Williston no. 2,011-Williston 2
011-Williston no. 3,011-Williston 3
025-Angelus-catarrh,025-Angelus-cararrh
063-Lake murray #1,063-Lake murray 1
063-Old barnwell rd,063-Old barnwell road
063-Beulah church,063-Beulah  church
063-Red bank south #1,063-Red bank south 1
063-Edmund #1,063-Edmund 1
063-Pelion #1,063-Pelion 1
063-Swansea #1,063-Swansea 1
063-Gaston #1,063-Gaston 1
063-Cayce ward no.1,063-Cayce no. 1
063-Cayce ward no.2,063-Cayce no. 2
063-Cayce ward no.3,063-Cayce no. 3
063-Congaree #1,063-Congaree 1
063-W columbia no 1,063-West columbia no. 1
063-W columbia no 2,063-West columbia no. 2
063-W columbia no 3,063-West columbia no. 3
063-W columbia no 4,063-West columbia no. 4
063-Cayce ward 2-a,063-Cayce 2a
063-Barr road #1,063-Barr road 1
063-Pilgrim church,063-Pilgrim chruch
063-Park road #1,063-Park road 1
063-Gaston #2,063-Gaston 2
063-Lake murray #2,063-Lake murray 2
063-Congaree #2,063-Congaree 2
063-St davids,063-St. davids
063-Mt hebron,063-Mt. hebron
063-Sandhill,063-Sand hill
063-Edmund #2,063-Edmund 2
063-Swansea #2,063-Swansea 2
063-Pelion #2,063-Pelion 2
063-Park road #2,063-Park road 2
063-Barr road #2,063-Barr road 2
063-Red bank south #2,063-Red bank south 2
053-Okatie,053-Oakatie
063-Pineridge #1,063-Pine ridge 1
063-Pineridge #2,063-Pine ridge 2
