




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
RACEPATH #1                   1311                          285                           285                           228                           228                           1                             1                             514                           
RACEPATH #2                   1557                          461                           461                           64                            64                            0                             0                             525                           
RED BLUFF                     1018                          195                           195                           247                           247                           0                             0                             442                           
RED HILL #1                   1244                          110                           110                           273                           273                           0                             0                             383                           
RED HILL #2                   2317                          385                           385                           662                           662                           0                             0                             1047                          
SALEM                         2081                          258                           258                           773                           773                           0                             0                             1031                          
SEA OATS #1                   1895                          243                           243                           354                           354                           0                             0                             597                           
SEA OATS #2                   1524                          276                           276                           274                           274                           0                             0                             550                           
SEA WINDS                     3691                          588                           588                           1036                          1036                          4                             4                             1628                          
SHELL                         1163                          127                           127                           503                           503                           1                             1                             631                           
SOCASTEE #1                   3070                          404                           404                           803                           803                           1                             1                             1208                          
SOCASTEE #2                   1524                          171                           171                           474                           474                           1                             1                             646                           
SOCASTEE #3                   3345                          466                           466                           997                           997                           3                             3                             1466                          
SOCASTEE #4                   4127                          608                           608                           997                           997                           2                             2                             1607                          
SPRING BRANCH                 326                           39                            39                            143                           143                           0                             0                             182                           
SURFSIDE #1                   2229                          375                           375                           729                           729                           0                             0                             1104                          
SURFSIDE #2                   1069                          188                           188                           391                           391                           0                             0                             579                           
SURFSIDE #3                   2454                          305                           305                           822                           822                           0                             0                             1127                          
SURFSIDE #4                   2630                          357                           357                           846                           846                           1                             1                             1204                          
SWEET HOME                    1083                          224                           224                           254                           254                           1                             1                             479                           
TAYLORSVILLE                  288                           11                            11                            138                           138                           0                             0                             149                           
TILLY SWAMP                   1355                          200                           200                           545                           545                           1                             1                             746                           
TODDVILLE                     1396                          226                           226                           461                           461                           1                             1                             688                           
WAMPEE                        1703                          517                           517                           289                           289                           0                             0                             806                           
WEST CONWAY                   727                           162                           162                           150                           150                           0                             0                             312                           
WEST LORIS                    841                           256                           256                           106                           106                           3                             3                             365                           
WHITE OAK                     642                           44                            44                            261                           261                           0                             0                             305                           
WILD WING                     3078                          435                           435                           813                           813                           1                             1                             1249                          
WINDY HILL #1                 1374                          191                           191                           466                           466                           2                             2                             659                           
WINDY HILL #2                 2468                          362                           362                           967                           967                           0                             0                             1329                          
BURGESS #3                    3287                          538                           538                           1208                          1208                          0                             0                             1746                          
MARLOWE #2                    3558                          611                           611                           1078                          1078                          2                             2                             1691                          
BURGESS #4                    1784                          300                           300                           604                           604                           3                             3                             907                           
MARLOWE #3                    1854                          334                           334                           513                           513                           0                             0                             847                           
BROOKSVILLE #2                1182                          219                           219                           403                           403                           0                             0                             622                           
CAROLINA BAYS                 2220                          328                           328                           693                           693                           0                             0                             1021                          
NIXONS XROADS #3              1753                          342                           342                           591                           591                           0                             0                             933                           
RIVER OAKS                    2534                          402                           402                           694                           694                           0                             0                             1096                          
LAKE PARK #2                  1364                          236                           236                           302                           302                           0                             0                             538                           
LAKE PARK #3                  1695                          281                           281                           467                           467                           0                             0                             748                           
Absentee                      0                             4427                          4427                          6015                          6015                          6                             6                             10448                         
Absentee 2                    0                             255                           255                           420                           420                           0                             0                             675                           
Emergency                     0                             108                           108                           209                           209                           0                             0                             317                           
Emergency 2                   0                             2                             2                             3                             3                             0                             0                             5                             
Failsafe                      0                             69                            69                            44                            44                            0                             0                             113                           
Failsafe 2                    0                             1                             1                             0                             0                             0                             0                             1                             
Provisional                   0                             20                            20                            35                            35                            0                             0                             55                            
Provisional 2                 0                             0                             0                             0                             0                             0                             0                             0                             
Failsafe Provisional          0                             6                             6                             10                            10                            0                             0                             16                            
Totals:                       216092                        38574                         38574                         71985                         71985                         79                            79                            110638                        

                                                                                                           Secretary of State (Vote For 1)
                                                            Melvin T Whittenburg                                        Mark Hammond                                                Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
ADRIAN                        1875                          196                           196                           564                           564                           0                             0                             760                           
ALLSBROOK                     647                           53                            53                            263                           263                           0                             0                             316                           
ATLANTIC BEACH                295                           53                            53                            6                             6                             0                             0                             59                            
AYNOR                         1556                          146                           146                           628                           628                           0                             0                             774                           
BAYBORO-GURLEY                1299                          205                           205                           378                           378                           0                             0                             583                           
BROOKSVILLE #1                3078                          509                           509                           983                           983                           2                             2                             1494                          
BROWNWAY                      1571                          116                           116                           593                           593                           0                             0                             709                           
BURGESS #1                    2276                          359                           359                           819                           819                           0                             0                             1178                          
BURGESS #2                    3330                          535                           535                           1205                          1205                          1                             1                             1741                          
CAROLINA FOREST #1            2876                          416                           416                           780                           780                           2                             2                             1198                          
CAROLINA FOREST #2            2108                          311                           311                           570                           570                           0                             0                             881                           
CEDAR GROVE                   767                           54                            54                            321                           321                           1                             1                             376                           
CHERRY GROVE #1               1775                          202                           202                           666                           666                           0                             0                             868                           
CHERRY GROVE #2               1981                          322                           322                           794                           794                           0                             0                             1116                          
COASTAL CAROLINA              1597                          236                           236                           338                           338                           1                             1                             575                           
COASTAL LANE #1               973                           325                           325                           51                            51                            0                             0                             376                           
COASTAL LANE #2               1322                          294                           294                           142                           142                           0                             0                             436                           
COOL SPRINGS                  385                           38                            38                            167                           167                           0                             0                             205                           
CRESENT                       1785                          250                           250                           515                           515                           1                             1                             766                           
DAISY                         1222                          107                           107                           445                           445                           0                             0                             552                           
DEERFIELD                     2539                          349                           349                           854                           854                           0                             0                             1203                          
DOGBLUFF                      974                           44                            44                            376                           376                           1                             1                             421                           
DOGWOOD                       1375                          283                           283                           360                           360                           0                             0                             643                           
DUNES #1                      2847                          393                           393                           1205                          1205                          1                             1                             1599                          
DUNES #2                      2016                          274                           274                           742                           742                           0                             0                             1016                          
DUNES #3                      1060                          200                           200                           349                           349                           0                             0                             549                           
EAST CONWAY                   1224                          154                           154                           393                           393                           0                             0                             547                           
EAST LORIS                    2547                          403                           403                           759                           759                           0                             0                             1162                          
EBENEZER                      2034                          284                           284                           788                           788                           0                             0                             1072                          
EMERALD FOREST #1             2519                          380                           380                           563                           563                           1                             1                             944                           
EMERALD FOREST #2             3922                          629                           629                           1019                          1019                          1                             1                             1649                          
EMERALD FOREST #3             2524                          411                           411                           782                           782                           0                             0                             1193                          
ENTERPRISE                    3594                          543                           543                           1086                          1086                          0                             0                             1629                          
FORESTBROOK                   3214                          477                           477                           985                           985                           3                             3                             1465                          
FOUR MILE                     1758                          237                           237                           550                           550                           0                             0                             787                           
GALLIVANTS FERRY              162                           18                            18                            69                            69                            0                             0                             87                            
GARDEN CITY #1                2019                          248                           248                           730                           730                           0                             0                             978                           
GARDEN CITY #2                1344                          118                           118                           579                           579                           0                             0                             697                           
GARDEN CITY #3                1836                          299                           299                           564                           564                           0                             0                             863                           
GARDEN CITY #4                1141                          192                           192                           376                           376                           0                             0                             568                           
GLENNS BAY                    2114                          304                           304                           687                           687                           1                             1                             992                           
GREEN SEA                     819                           112                           112                           302                           302                           0                             0                             414                           
HICKORY GROVE                 1453                          132                           132                           519                           519                           0                             0                             651                           
HICKORY HILL                  149                           15                            15                            72                            72                            0                             0                             87                            
HOMEWOOD                      1495                          212                           212                           445                           445                           1                             1                             658                           
HORRY                         1109                          64                            64                            468                           468                           0                             0                             532                           
INLAND                        340                           74                            74                            104                           104                           0                             0                             178                           
JACKSON BLUFF                 616                           74                            74                            203                           203                           0                             0                             277                           
JAMESTOWN                     3104                          588                           588                           726                           726                           0                             0                             1314                          
JERIGANS CROSSROADS           638                           46                            46                            278                           278                           0                             0                             324                           
JET PORT #1                   1978                          303                           303                           498                           498                           0                             0                             801                           
JET PORT #2                   4998                          751                           751                           1313                          1313                          0                             0                             2064                          
JORDANVILLE                   485                           14                            14                            221                           221                           0                             0                             235                           
JOYNER SWAMP                  407                           18                            18                            178                           178                           0                             0                             196                           
JUNIPER BAY                   1743                          145                           145                           628                           628                           1                             1                             774                           
LAKE PARK #1                  2103                          258                           258                           520                           520                           1                             1                             779                           
LEON                          1669                          373                           373                           407                           407                           0                             0                             780                           
LITTLE RIVER #1               1601                          242                           242                           559                           559                           0                             0                             801                           
LITTLE RIVER #2               2908                          383                           383                           976                           976                           0                             0                             1359                          
LITTLE RIVER #3               2061                          294                           294                           839                           839                           0                             0                             1133                          
LIVE OAK                      685                           128                           128                           223                           223                           0                             0                             351                           
MAPLE                         1360                          186                           186                           541                           541                           0                             0                             727                           
MARLOWE #1                    2311                          340                           340                           724                           724                           1                             1                             1065                          
METHODIST-MILL SWAMP          676                           18                            18                            337                           337                           0                             0                             355                           
MT. OLIVE                     795                           90                            90                            272                           272                           0                             0                             362                           
MT. VERNON                    534                           34                            34                            227                           227                           0                             0                             261                           
MYRTLE TRACE                  1482                          201                           201                           430                           430                           1                             1                             632                           
MYRTLEWOOD #1                 1511                          203                           203                           337                           337                           2                             2                             542                           
MYRTLEWOOD #2                 1704                          268                           268                           506                           506                           1                             1                             775                           
MYRTLEWOOD #3                 1806                          239                           239                           651                           651                           0                             0                             890                           
NIXONS XROADS #1              1881                          240                           240                           589                           589                           0                             0                             829                           
NIXONS XROADS #2              2784                          503                           503                           761                           761                           0                             0                             1264                          
NORTH CONWAY #1               1567                          315                           315                           379                           379                           1                             1                             695                           
NORTH CONWAY #2               1160                          177                           177                           396                           396                           1                             1                             574                           
OCEAN DRIVE #1                2204                          287                           287                           776                           776                           0                             0                             1063                          
OCEAN DRIVE #2                3376                          380                           380                           1266                          1266                          0                             0                             1646                          
OCEAN FOREST #1               1623                          234                           234                           558                           558                           0                             0                             792                           
OCEAN FOREST #2               1764                          269                           269                           548                           548                           0                             0                             817                           
OCEAN FOREST #3               1124                          208                           208                           215                           215                           0                             0                             423                           
PALMETTO BAYS                 3598                          484                           484                           1129                          1129                          0                             0                             1613                          
PAWLEYS SWAMP                 542                           28                            28                            195                           195                           0                             0                             223                           
PLEASANT VIEW                 236                           16                            16                            99                            99                            0                             0                             115                           
POPLAR HILL                   763                           35                            35                            331                           331                           0                             0                             366                           
PORT HARRELSON                688                           316                           316                           23                            23                            0                             0                             339                           
RACEPATH #1                   1311                          285                           285                           231                           231                           0                             0                             516                           
RACEPATH #2                   1557                          461                           461                           65                            65                            0                             0                             526                           
RED BLUFF                     1018                          190                           190                           254                           254                           0                             0                             444                           
RED HILL #1                   1244                          101                           101                           279                           279                           0                             0                             380                           
RED HILL #2                   2317                          383                           383                           666                           666                           0                             0                             1049                          
SALEM                         2081                          239                           239                           785                           785                           3                             3                             1027                          
SEA OATS #1                   1895                          231                           231                           364                           364                           0                             0                             595                           
SEA OATS #2                   1524                          263                           263                           282                           282                           1                             1                             546                           
SEA WINDS                     3691                          552                           552                           1072                          1072                          1                             1                             1625                          
SHELL                         1163                          117                           117                           515                           515                           0                             0                             632                           
SOCASTEE #1                   3070                          384                           384                           818                           818                           0                             0                             1202                          
SOCASTEE #2                   1524                          158                           158                           482                           482                           2                             2                             642                           
SOCASTEE #3                   3345                          437                           437                           1025                          1025                          2                             2                             1464                          
SOCASTEE #4                   4127                          595                           595                           1005                          1005                          1                             1                             1601                          
SPRING BRANCH                 326                           30                            30                            151                           151                           0                             0                             181                           
SURFSIDE #1                   2229                          337                           337                           753                           753                           1                             1                             1091                          
SURFSIDE #2                   1069                          172                           172                           403                           403                           0                             0                             575                           
SURFSIDE #3                   2454                          278                           278                           847                           847                           0                             0                             1125                          
SURFSIDE #4                   2630                          339                           339                           863                           863                           2                             2                             1204                          
SWEET HOME                    1083                          217                           217                           262                           262                           0                             0                             479                           
TAYLORSVILLE                  288                           10                            10                            138                           138                           0                             0                             148                           
TILLY SWAMP                   1355                          183                           183                           558                           558                           2                             2                             743                           
TODDVILLE                     1396                          217                           217                           471                           471                           0                             0                             688                           
WAMPEE                        1703                          512                           512                           291                           291                           0                             0                             803                           
WEST CONWAY                   727                           146                           146                           168                           168                           0                             0                             314                           
WEST LORIS                    841                           259                           259                           108                           108                           0                             0                             367                           
WHITE OAK                     642                           37                            37                            266                           266                           1                             1                             304                           
WILD WING                     3078                          400                           400                           844                           844                           0                             0                             1244                          
WINDY HILL #1                 1374                          180                           180                           472                           472                           1                             1                             653                           
WINDY HILL #2                 2468                          344                           344                           983                           983                           0                             0                             1327                          
