




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ADRIAN                        2323                          2                             2                             0                             0                             0                             0                             4                             2                             2                             0                             0                             0                             0                             4                             580                           259                           58                            0                             0                             0                             897                           0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             103                           121                           32                            0                             0                             0                             256                           1163                          
ALLSBROOK                     806                           2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             272                           44                            17                            0                             0                             0                             333                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             36                            20                            6                             0                             0                             0                             62                            397                           
ATLANTIC BEACH                430                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             13                            6                             0                             0                             0                             0                             19                            0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             47                            16                            4                             0                             0                             0                             67                            87                            
AYNOR                         2000                          1                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             1                             729                           187                           46                            0                             0                             0                             962                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             64                            73                            44                            0                             0                             0                             181                           1147                          
BAYBORO-GURLEY                1555                          1                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             380                           119                           27                            0                             0                             0                             526                           0                             0                             0                             0                             0                             0                             0                             2                             1                             1                             0                             0                             0                             4                             132                           98                            31                            0                             0                             0                             261                           793                           
BROOKSVILLE #1                3834                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             451                           706                           180                           0                             0                             0                             1337                          0                             0                             0                             0                             0                             0                             0                             4                             1                             0                             0                             0                             0                             5                             99                            274                           168                           0                             0                             0                             541                           1884                          
BROWNWAY                      1907                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             548                           258                           29                            0                             0                             0                             835                           0                             0                             0                             0                             0                             0                             0                             4                             0                             0                             0                             0                             0                             4                             44                            65                            22                            0                             0                             0                             131                           971                           
BURGESS #1                    2748                          1                             1                             1                             0                             0                             0                             3                             1                             1                             0                             0                             0                             0                             2                             419                           475                           147                           0                             0                             0                             1041                          0                             0                             0                             0                             0                             0                             0                             4                             0                             0                             0                             0                             0                             4                             71                            148                           101                           0                             0                             0                             320                           1370                          
BURGESS #2                    4121                          2                             1                             0                             0                             0                             0                             3                             2                             1                             0                             0                             0                             0                             3                             578                           825                           211                           0                             0                             0                             1614                          0                             0                             0                             0                             0                             0                             0                             2                             2                             1                             0                             0                             0                             5                             70                            234                           155                           0                             0                             0                             459                           2084                          
CAROLINA FOREST #1            3530                          4                             2                             1                             0                             0                             0                             7                             2                             0                             0                             0                             0                             0                             2                             521                           496                           71                            0                             0                             0                             1088                          0                             0                             0                             0                             0                             0                             0                             4                             1                             1                             0                             0                             0                             6                             141                           234                           102                           0                             0                             0                             477                           1580                          
